ID_INDIRIZZO,ID_OPERAZIONE,ID_SOGGETTO,DATA_INIZIO_VALIDITA,DATA_FINE_VALIDITA,CAP,ID_NAZIONE,COGNOMEPRESSO,NOMEPRESSO,ID_TIPO_INDIRIZZO,SEDIME,NOMEVIA,RADICE,ESTENSIONECIVICO,LOCALITA,FRAZIONE,ID_LUOGO,ID_FONTE_PROVENIENZA,ID_FONTE_RIFERIMENTO,ID_STATO_INDIRIZZO,DATA_CANCELLAZIONE
200000,910000000000000,100000,2017-12-20,,35698,100,Barbieri,Simone,1,Borgo,Cavour,7153,B,ROVOLON,,646,1,1,1,
200001,910000000000001,100001,2017-05-09,,30622,100,Bruno,Anna,2,Via,Europa,8628,A,MIRANO,,59396,2,2,1,
200002,910000000000002,100002,2018-09-17,,36632,100,Conti,Paolo,3,Borgo,Marconi,9014,A,BREGANZE,,58952,3,3,1,
200003,910000000000003,100003,2018-11-30,,35681,100,Moretti,Davide,4,Piazza,Manzoni,8994,B,SANTA GIUSTINA IN COLLE,,48261,1,4,1,
200004,910000000000004,100004,2022-04-21,,35862,100,Ferrari,Sara,1,Borgo,Carducci,6959,B,MASERA' DI PADOVA,,48328,2,1,1,
200005,910000000000005,100005,2019-07-09,,35764,100,Lombardi,Davide,2,Borgo,Garibaldi,7334,,CAMPODARSEGO,,48389,3,2,1,
200006,910000000000006,100006,2018-01-03,,37854,100,Barbieri,Chiara,3,Strada,Mazzini,3911,A,VALEGGIO SUL MINCIO,,48522,1,3,1,
200007,910000000000007,100007,2017-06-22,,37527,100,Esposito,Andrea,4,Corso,Europa,6889,B,CASALEONE,,47877,2,4,1,
200008,910000000000008,100008,2020-11-09,,37036,100,Fontana,Luca,1,Via,Dante,1559,B,NOGAROLE ROCCA,,48137,3,1,1,
200009,910000000000009,100009,2018-12-11,,37646,100,Barbieri,Laura,2,Viale,Carducci,675,INT,CAVAION VERONESE,,48198,1,2,1,
200010,910000000000010,100010,2024-07-04,,31378,100,Rizzo,Davide,3,Via,Mazzini,7937,,PEDEROBBA,,48199,2,3,1,
200011,910000000000011,100011,2022-10-26,,35448,100,Fontana,Marta,4,Corso,Garibaldi,23,INT,GAZZO,,47561,3,4,1,
200012,910000000000012,100012,2021-09-26,,37540,100,Greco,Marco,1,Borgo,Carducci,751,B,SOMMACAMPAGNA,,47753,1,1,1,
200013,910000000000013,100013,2018-01-18,,31808,100,Moretti,Paolo,2,Borgo,Garibaldi,6958,B,TARZO,,47819,2,2,1,
200014,910000000000014,100014,2023-02-06,,37110,100,Barbieri,Anna,3,Corso,Manzoni,703,B,LAZISE,,47049,3,3,1,
200015,910000000000015,100015,2023-05-01,,37699,100,Barbieri,Marco,4,Viale,Garibaldi,4655,,BOVOLONE,,47111,1,4,1,
200016,910000000000016,100016,2022-11-04,,31467,100,Esposito,Federica,1,Viale,Kennedy,3933,INT,MONFUMO,,47112,2,1,1,
200017,910000000000017,100017,2021-05-19,,31615,100,Conti,Paolo,2,Piazza,Verdi,7106,B,CAVASO DEL TOMBA,,47171,3,2,1,
200018,910000000000018,100018,2022-08-09,,35814,100,Lombardi,Davide,3,Corso,Verdi,571,B,ESTE,,47240,1,3,1,
200019,910000000000019,100019,2018-09-27,,35288,100,Gallo,Giulia,4,Borgo,Mazzini,5482,A,ARRE,,47304,2,4,1,
200020,910000000000020,100020,2022-04-21,,37947,100,Rossi,Paolo,1,Viale,Roma,9075,INT,BEVILACQUA,,46790,3,1,1,
200021,910000000000021,100021,2023-12-23,,32996,100,Greco,Elena,2,Via,Garibaldi,7349,INT,LOZZO DI CADORE,,46342,1,2,1,
200022,910000000000022,100022,2019-01-20,,35753,100,Costa,Andrea,3,Strada,Cavour,7184,INT,CERVARESE SANTA CROCE,,46471,2,3,1,
200023,910000000000023,100023,2021-11-06,,36433,100,Rossi,Gabriele,4,Borgo,Pascoli,8565,,CHIAMPO,,51910,3,4,1,
200024,910000000000024,100024,2022-07-12,,36454,100,Fontana,Sofia,1,Strada,Garibaldi,457,B,LUGO DI VICENZA,,51082,1,1,1,
200025,910000000000025,100025,2023-10-10,,36147,100,Barbieri,Alessandro,2,Strada,Verdi,4158,B,CAMPIGLIA DEI BERICI,,51142,2,2,1,
200026,910000000000026,100026,2022-07-27,,30982,100,Barbieri,Valentina,3,Viale,Carducci,2543,B,PIANIGA,,51268,3,3,1,
200027,910000000000027,100027,2022-07-14,,36819,100,Barbieri,Luca,4,Viale,Cavour,7064,INT,ROSSANO VENETO,,51461,1,4,1,
200028,910000000000028,100028,2017-03-01,,36994,100,Costa,Davide,1,Viale,Manzoni,4403,INT,POVE DEL GRAPPA,,50697,2,1,1,
200029,910000000000029,100029,2021-04-21,,36924,100,Romano,Martina,2,Borgo,Europa,9636,A,LAGHI,,50758,3,2,1,
200030,910000000000030,100030,2018-09-22,,36858,100,Rizzo,Paolo,3,Strada,Pascoli,2434,,CALDOGNO,,50821,1,3,1,
200031,910000000000031,100031,2023-02-16,,37050,100,Fontana,Martina,4,Via,Dante,799,B,ZEVIO,,40714,2,4,1,
200032,910000000000032,100032,2024-06-24,,36093,100,Bruno,Alessandro,1,Corso,Kennedy,3971,,ALTAVILLA VICENTINA,,40839,3,1,1,
200033,910000000000033,100033,2018-07-21,,35423,100,Marino,Stefano,2,Borgo,Marconi,2702,B,PADOVA,,40840,1,2,1,
200034,910000000000034,100034,2018-03-12,,37076,100,Romano,Anna,3,Piazza,Garibaldi,8875,INT,COLOGNA VENETA,,40071,2,3,1,
200035,910000000000035,100035,2024-08-07,,31576,100,Romano,Andrea,4,Borgo,Manzoni,9791,,FONTE,,40132,3,4,1,
200036,910000000000036,100036,2022-03-19,,35374,100,Ferrari,Elena,1,Piazza,Europa,2250,INT,SANT'URBANO,,40133,1,1,1,
200037,910000000000037,100037,2023-09-05,,30654,100,Marino,Marco,2,Piazza,Pascoli,4304,A,CAMPOLONGO MAGGIORE,,40201,2,2,1,
200038,910000000000038,100038,2020-08-22,,37722,100,Esposito,Paolo,3,Strada,Mazzini,9146,,RIVOLI VERONESE,,40326,3,3,1,
200039,910000000000039,100039,2024-05-26,,37586,100,Rizzo,Martina,4,Piazza,Cavour,5292,A,DOLCE',,40392,1,4,1,
200040,910000000000040,100040,2023-01-31,,31993,100,Romano,Stefano,1,Borgo,Mazzini,7229,INT,QUINTO DI TREVISO,,40393,2,1,1,
200041,910000000000041,100041,2022-12-27,,31034,100,Conti,Laura,2,Borgo,Carducci,2325,A,GODEGA DI SANT'URBANO,,40453,3,2,1,
200042,910000000000042,100042,2019-10-24,,31826,100,Ferrari,Matteo,3,Corso,Kennedy,21,B,VAZZOLA,,39688,1,3,1,
200043,910000000000043,100043,2018-06-20,,37539,100,Gallo,Giovanni,4,Strada,Roma,9478,,AFFI,,46023,2,4,1,
200044,910000000000044,100044,2024-09-27,,36634,100,Ferrari,Laura,1,Borgo,Cavour,3476,B,ZUGLIANO,,46024,3,1,1,
200045,910000000000045,100045,2018-05-06,,32218,100,Esposito,Marco,2,Piazza,Pascoli,9670,B,LIMANA,,46025,1,2,1,
200046,910000000000046,100046,2022-12-24,,31517,100,Gallo,Giulia,3,Piazza,Kennedy,9744,B,ASOLO,,46084,2,3,1,
200047,910000000000047,100047,2024-06-28,,36426,100,Greco,Simone,4,Corso,Mazzini,3605,,VILLAVERLA,,45701,3,4,1,
200048,910000000000048,100048,2021-12-17,,36064,100,Costa,Alessandro,1,Via,Europa,7268,B,POJANA MAGGIORE,,45127,1,1,1,
200049,910000000000049,100049,2017-09-22,,32008,100,Marino,Sara,2,Borgo,Cavour,2501,INT,SEDICO,,45189,2,2,1,
200050,910000000000050,100050,2024-03-12,,32007,100,Costa,Matteo,3,Corso,Cavour,6059,INT,FONZASO,,45252,3,3,1,
200051,910000000000051,100051,2018-08-02,,32671,100,Bianchi,Francesca,4,Borgo,Kennedy,4550,A,SAN TOMASO AGORDINO,,44871,1,4,1,
200052,910000000000052,100052,2022-11-20,,32522,100,Marino,Gabriele,1,Corso,Marconi,3076,B,DOMEGGE DI CADORE,,44934,2,1,1,
200053,910000000000053,100053,2018-12-04,,36932,100,Rossi,Davide,2,Via,Roma,8123,INT,NOGAROLE VICENTINO,,44360,3,2,1,
200054,910000000000054,100054,2021-07-25,,35369,100,Ferrari,Sofia,3,Piazza,Europa,8427,INT,SAN PIETRO VIMINARIO,,44361,1,3,1,
200055,910000000000055,100055,2022-08-22,,37724,100,Greco,Andrea,4,Piazza,Verdi,3517,INT,SAN ZENO DI MONTAGNA,,59208,2,4,1,
200056,910000000000056,100056,2018-08-16,,36593,100,Lombardi,Laura,1,Via,Marconi,8829,B,TORREBELVICINO,,44611,3,1,1,
200057,910000000000057,100057,2022-04-20,,36230,100,Rizzo,Giovanni,2,Viale,Mazzini,8959,INT,SCHIO,,43844,1,2,1,
200058,910000000000058,100058,2023-01-04,,32024,100,Greco,Marco,3,Corso,Manzoni,7472,,BORCA DI CADORE,,43845,2,3,1,
200059,910000000000059,100059,2023-08-29,,36331,100,Lombardi,Sara,4,Borgo,Marconi,3167,B,MONTORSO VICENTINO,,44039,3,4,1,
200060,910000000000060,100060,2022-10-06,,36360,100,Marino,Giovanni,1,Borgo,Mazzini,9714,INT,CRESPADORO,,44103,1,1,1,
200061,910000000000061,100061,2023-02-24,,32163,100,Moretti,Chiara,2,Strada,Dante,8029,B,CESIOMAGGIORE,,44165,2,2,1,
200062,910000000000062,100062,2018-11-01,,35881,100,Moretti,Simone,3,Strada,Marconi,8061,B,RUBANO,,43590,3,3,1,
200063,910000000000063,100063,2023-07-17,,45022,100,Bianchi,Andrea,4,Via,Europa,418,A,GUARDA VENETA,,43591,1,4,1,
200064,910000000000064,100064,2021-12-20,,36745,100,Barbieri,Valentina,1,Borgo,Roma,1723,B,SAN VITO DI LEGUZZANO,,43653,2,1,1,
200065,910000000000065,100065,2019-04-07,,36013,100,Romano,Davide,2,Viale,Roma,4590,B,CASSOLA,,43014,3,2,1,
200066,910000000000066,100066,2022-01-05,,36918,100,Rossi,Sofia,3,Corso,Cavour,6140,B,MONTECCHIO MAGGIORE,,43273,1,3,1,
200067,910000000000067,100067,2018-10-10,,35964,100,Fontana,Alessandro,4,Piazza,Cavour,280,INT,PONSO,,41606,2,4,1,
200068,910000000000068,100068,2018-05-05,,45223,100,Fontana,Stefano,1,Via,Marconi,4936,,ROVIGO,,41669,3,1,1,
200069,910000000000069,100069,2022-05-24,,37753,100,Bruno,Valentina,2,Corso,Cavour,8625,INT,SAN BONIFACIO,,41098,1,2,1,
200070,910000000000070,100070,2018-09-10,,37736,100,Ferrari,Matteo,3,Via,Kennedy,5407,,GREZZANA,,41159,2,3,1,
200071,910000000000071,100071,2018-02-19,,35319,100,Costa,Giulia,4,Piazza,Europa,9663,INT,URBANA,,41221,3,4,1,
