ID_SOGGETTO,ID_OPERAZIONE,FLAG_PERSONA_FISICA,COGNOME,NOME,SESSO,DATA_NASCITA,DATA_INIZIO_VALIDITA,DATA_FINE_VALIDITA,MATCHCODE,ID_STATO_ANAGRAFICO,ID_STATO_SOGGETTO,ID_CITTADINANZA,ID_NAZIONE,CODICEFISCALE,FLAGCFCERTIFICATO,ID_LUOGO,ID_FONTE_PROVENIENZA,ID_FONTE_RIFERIMENTO,DENOMINAZIONE,PARTITAIVA,DATA_COSTITUZIONE,PK_FORMA_GIURIDICA,COD_FORMA_GIURIDICA,CODICE_ATECO,DATA_CANCELLAZIONE,DATA_DECESSO,INDIRIZZO_PEC
100000,900000000000000,S,Barbieri,Simone,M,1973-01-16,2017-12-20,,BARBIERISI,1,1,1,100,BRBSMN73A16H622A,S,646,1,1,,,,,,,,,
100001,900000000000001,S,Bruno,Anna,F,1990-12-16,2017-05-09,,BRUNOANNA,1,1,1,100,BRNNNA90T56F241Z,S,59396,2,2,,,,,,,,,
100002,900000000000002,S,Conti,Paolo,M,1970-06-11,2018-09-17,,CONTIPAOLO,1,1,1,100,CNTPLA70H11B132K,S,58952,3,3,,,,,,,,,
100003,900000000000003,S,Moretti,Davide,M,1947-07-24,2018-11-30,,MORETTIDAV,1,1,1,100,MRTDVD47L24I207T,S,48261,1,4,,,,,,,,,
100004,900000000000004,S,Ferrari,Sara,F,1983-01-16,2022-04-21,,FERRARISAR,1,1,1,100,FRRSRA83A56F011P,S,48328,2,1,,,,,,,,,
100005,900000000000005,S,Lombardi,Davide,M,1973-11-25,2019-07-09,,LOMBARDIDA,1,1,1,100,LMBDVD73S25B524V,S,48389,3,2,,,,,,,,,
100006,900000000000006,S,Barbieri,Chiara,F,1974-09-14,2018-01-03,,BARBIERICH,1,1,1,100,BRBCHR74P54L567N,S,48522,1,3,,,,,,,,,
100007,900000000000007,S,Esposito,Andrea,M,1928-08-18,2017-06-22,,ESPOSITOAN,1,1,1,100,SPSNDR28M18B886C,S,47877,2,4,,,,,,,,,
100008,900000000000008,S,Fontana,Luca,M,1989-06-05,2020-11-09,,FONTANALUC,1,1,1,100,FNTLCU89H05F921Q,S,48137,3,1,,,,,,,,,
100009,900000000000009,S,Barbieri,Laura,F,1990-06-05,2018-12-11,,BARBIERILA,1,1,1,100,BRBLRA90H45C370N,S,48198,1,2,,,,,,,,,
