id_anagrafica,cod_fiscale,cod_partita_iva,fk_comune_residenza,de_indirizzo_residenza,flg_dic_presentata_prima_volta,flg_pf_mini,flg_grandi_contrib,fk_comune_nascita,dt_nascita,flg_sesso,cod_stato_civile,de_cognome,de_nome,de_numero_telefono,de_numero_fax,de_mail,fk_comune_fiscale
9800000,BRBSMN73A16H622A,,646,Corso Roma 18,1,1,0,646,1973-01-16,M,C,Barbieri,Simone,3735898634,,simone.barbieri98@example.it,646
9800001,BRNNNA90T56F241Z,,59396,Strada Mazzini 64,,0,0,59396,1990-12-16,F,D,Bruno,Anna,3706698511,,anna.bruno28@example.it,59396
9800002,CNTPLA70H11B132K,,58952,Strada Carducci 66,,0,0,58952,1970-06-11,M,S,Conti,Paolo,3573014510,,paolo.conti57@example.it,58952
9800003,MRTDVD47L24I207T,,48261,Piazza Carducci 56,,0,0,48261,1947-07-24,M,S,Moretti,Davide,3992327377,,davide.moretti92@example.it,48261
9800004,FRRSRA83A56F011P,,48328,Via Marconi 151,,0,0,48328,1983-01-16,F,N,Ferrari,Sara,3629231266,,sara.ferrari12@example.it,48328
9800005,LMBDVD73S25B524V,,48389,Viale Carducci 82,,0,0,48389,1973-11-25,M,C,Lombardi,Davide,3808985672,,davide.lombardi49@example.it,48389
9800006,BRBCHR74P54L567N,,48522,Borgo Garibaldi 9,,0,0,48522,1974-09-14,F,N,Barbieri,Chiara,3486802739,,chiara.barbieri40@example.it,48522
9800007,SPSNDR28M18B886C,,47877,Strada Garibaldi 114,1,0,0,47877,1928-08-18,M,C,Esposito,Andrea,3552984500,,andrea.esposito39@example.it,47877
9800008,FNTLCU89H05F921Q,,48137,Via Manzoni 117,,0,0,48137,1989-06-05,M,C,Fontana,Luca,3861515304,,luca.fontana90@example.it,48137
9800009,BRBLRA90H45C370N,,48198,Corso Kennedy 77,,0,0,48198,1990-06-05,F,V,Barbieri,Laura,3403575675,,laura.barbieri49@example.it,48198
9800010,RZZDVD63L05G408Q,,48199,Borgo Europa 174,,0,0,48199,1963-07-05,M,N,Rizzo,Davide,3671074111,,davide.rizzo7@example.it,48199
9800011,FNTMRT83C59D956C,,47561,Corso Europa 151,,1,0,47561,1983-03-19,F,C,Fontana,Marta,3737818114,,marta.fontana86@example.it,47561
9800012,GRCMRC79R31I821J,,47753,Corso Roma 53,,0,0,47753,1979-10-31,M,N,Greco,Marco,3861606370,,marco.greco44@example.it,47753
9800013,MRTPLA84D17L058K,,47819,Strada Verdi 25,,0,0,47819,1984-04-17,M,V,Moretti,Paolo,3731881876,,paolo.moretti97@example.it,47819
9800014,BRBNNA95E49E502T,,47049,Via Manzoni 151,1,0,0,47049,1995-05-09,F,D,Barbieri,Anna,3829555854,,anna.barbieri22@example.it,47049
