id_persona_carico,cod_fiscale,fk_ruolo,num_mesi_appartenenza,num_percentuale_appartenenza,flg_minore_3_anni,flg_a_carico,flg_null_mesi,flg_null_appartenenza,flg_appartenenza_c
9800000,RMNPLA07S08H622S,,0,0,,0,1,1,
9800001,RMNVNT17M71F241T,,12,50,,1,0,0,0
9800002,BRNGNN13L16B132E,,12,50,,1,0,0,0
9800003,CSTCHR06E58I207A,,12,50,,1,0,0,0
9800004,SPSPLA20E17F011C,,6,50,1,1,0,0,0
9800005,BRBSRA07E68B524C,,6,100,,1,0,0,0
9800006,MRNLCU03S12L567K,,0,0,,0,1,1,
9800007,BRNMRT99C49B886Y,,12,100,,1,0,0,0
9800008,RMNLCU19L03F921K,,6,100,,1,0,0,0
9800009,RMNLNE21L43C370F,,12,100,1,1,0,0,0
9800010,BNCLSN12T15G408F,,12,50,,1,0,0,0
9800011,SPSLNE07A45D956O,,12,50,,1,0,0,0
9800012,SPSMRC19R16I821Z,,0,0,,0,1,1,
9800013,RSSMRT18T41L058Z,,6,50,,1,0,0,0
9800014,BRBSMN06L23E502K,,12,100,,1,0,0,0
9800015,GRCMRT01R60B107S,,12,100,,1,0,0,0
9800016,SPSMRC03C11F360Q,,12,50,,1,0,0,0
9800017,GRCFRC09B54C384O,,12,100,,1,0,0,0
9800018,RZZMRC21E16D442S,,0,0,1,0,1,1,
9800019,GLLMTN19B64A438K,,6,100,,1,0,0,0
9800020,BRBDVD12B17A837R,,6,50,,1,0,0,0
9800021,GLLNNA16D45E708K,,12,100,,1,0,0,0
9800022,MRNGRL01H03C544X,,6,100,,1,0,0,0
9800023,RSSNNA10L63C605Y,,6,100,,1,0,0,0
9800024,MRNMTT20T21E731H,,0,0,1,0,1,1,
9800025,GRCFRC15C53B511J,,6,50,,1,0,0,0
9800026,CSTPLA09E08G565G,,6,100,,1,0,0,0
9800027,BRNSRA10E63H580I,,12,50,,1,0,0,0
9800028,RSSDVD16L21G943Q,,6,100,,1,0,0,0
9800029,BRBFNC01P52E403J,,6,100,,1,0,0,0
